Task,Split,MAE_log,RMSE_log,R2,AUC,PR_AUC,best_t,best_F1,F1_at_best_t
Regression (LOG_TOTEXPY2),VALID,1.6572547698657458,2.2768887072679838,0.5140598186235315,,,,,
Regression (LOG_TOTEXPY2),TEST,1.5553245943844185,2.1653297844655826,0.5230276404428619,,,,,
High-cost (HIGHCOST_Y2),VALID,,,,0.8166049052740303,0.343884020637643,0.6,0.41282565130260523,
High-cost (HIGHCOST_Y2),TEST,,,,0.8496756146009878,0.4238439255285054,,,0.44952380952380955
Any ED (ANY_ED_Y2),VALID,,,,0.7385583294290878,0.3670506610771668,0.65,0.4149377593360996,
Any ED (ANY_ED_Y2),TEST,,,,0.7066193695201125,0.33085901207493673,,,0.37333333333333335
Any IP (ANY_IP_Y2),VALID,,,,0.7902182993716174,0.2803399591324149,0.7999999999999999,0.36607142857142855,
Any IP (ANY_IP_Y2),TEST,,,,0.7506499847421422,0.21956377090688456,,,0.27722772277227725
